driver_id,vehicle_type,is_ev,status,rating,experience_months,home_zone_id,current_zone_id,daily_trip_target,battery_capacity_kwh,avg_daily_earnings,preferred_shift,join_date,city
DRV0061,Auto,False,active,4.3,1,Z111,Z035,12,,819,afternoon,2023-12-02,Bangalore
DRV0062,Bike,False,active,4.3,22,Z098,Z072,28,,563,evening,2022-03-12,Bangalore
DRV0063,Auto,False,active,3.7,23,Z058,Z167,22,,1093,night,2022-02-10,Bangalore
DRV0064,EV Auto,True,active,3.9,25,Z039,Z062,9,3.6,839,morning,2021-12-12,Bangalore
DRV0065,Auto,False,active,4.6,20,Z164,Z192,22,,1049,flexible,2022-05-11,Bangalore
DRV0066,Bike,False,active,3.9,9,Z188,Z097,27,,662,evening,2023-04-06,Bangalore
DRV0067,EV Bike,True,active,3.8,66,Z073,Z176,21,3.2,882,afternoon,2021-01-01,Bangalore
DRV0068,Bike,False,active,4.6,18,Z110,Z126,18,,661,flexible,2022-07-10,Bangalore
DRV0069,Auto,False,active,4.2,16,Z152,Z167,19,,1154,night,2022-09-08,Bangalore
DRV0070,Auto,False,inactive,3.6,24,Z085,Z085,11,,1015,morning,2022-01-11,Bangalore
DRV0071,Auto,False,active,3.8,51,Z018,Z127,12,,1212,afternoon,2021-01-01,Bangalore
DRV0072,Bike,False,active,4.2,62,Z070,Z143,15,,998,morning,2021-01-01,Bangalore
DRV0073,Bike,False,active,3.9,35,Z125,Z166,30,,593,morning,2021-02-15,Bangalore
DRV0074,Bike,False,active,3.8,15,Z161,Z095,30,,613,afternoon,2022-10-08,Bangalore
DRV0075,Auto,False,active,4.3,16,Z070,Z079,13,,1026,afternoon,2022-09-08,Bangalore
DRV0076,Auto,False,suspended,4.3,83,Z044,Z044,21,,1202,evening,2021-01-01,Bangalore
DRV0077,EV Auto,True,active,4.2,38,Z029,Z050,10,3.1,902,evening,2021-01-01,Bangalore
DRV0078,Bike,False,active,4.5,22,Z072,Z179,19,,837,morning,2022-03-12,Bangalore
DRV0079,Bike,False,active,3.6,30,Z093,Z048,16,,637,morning,2021-07-15,Bangalore
DRV0080,Bike,False,active,4.3,45,Z189,Z014,19,,855,flexible,2021-01-01,Bangalore
DRV0081,Bike,False,active,4.4,29,Z110,Z156,22,,1207,evening,2021-08-14,Bangalore
DRV0082,Bike,False,inactive,4.7,29,Z079,Z079,16,,863,flexible,2021-08-14,Bangalore
DRV0083,Bike,False,active,4.1,9,Z040,Z062,20,,736,morning,2023-04-06,Bangalore
DRV0084,Auto,False,active,4.3,1,Z059,Z074,21,,802,morning,2023-12-02,Bangalore
DRV0085,Bike,False,active,5.0,7,Z151,Z170,21,,410,morning,2023-06-05,Bangalore
DRV0086,Bike,False,active,4.0,1,Z023,Z043,24,,614,flexible,2023-12-02,Bangalore
DRV0087,Bike,False,active,4.0,3,Z108,Z070,30,,745,morning,2023-10-03,Bangalore
DRV0088,Bike,False,active,4.8,5,Z027,Z059,15,,640,evening,2023-08-04,Bangalore
DRV0089,EV Bike,True,active,3.9,1,Z113,Z072,18,4.1,680,flexible,2023-12-02,Bangalore
DRV0090,Auto,False,active,5.0,19,Z030,Z042,16,,1216,afternoon,2022-06-10,Bangalore
DRV0091,EV Auto,True,active,3.4,29,Z123,Z023,9,4.4,1017,afternoon,2021-08-14,Bangalore
DRV0092,Auto,False,suspended,4.0,2,Z155,Z155,16,,709,evening,2023-11-02,Bangalore
DRV0093,Auto,False,active,4.4,10,Z022,Z053,18,,1053,afternoon,2023-03-07,Bangalore
DRV0094,Auto,False,active,4.1,6,Z156,Z062,14,,891,evening,2023-07-05,Bangalore
DRV0095,Bike,False,suspended,4.9,20,Z119,Z119,18,,748,evening,2022-05-11,Bangalore
DRV0096,Auto,False,active,4.4,18,Z126,Z121,17,,1188,afternoon,2022-07-10,Bangalore
DRV0097,EV Auto,True,active,3.6,8,Z018,Z071,16,3.0,831,morning,2023-05-06,Bangalore
DRV0098,Auto,False,inactive,4.1,2,Z186,Z186,12,,1134,evening,2023-11-02,Bangalore
DRV0099,Bike,False,active,2.9,4,Z085,Z049,22,,497,flexible,2023-09-03,Bangalore
DRV0100,Bike,False,active,3.4,18,Z102,Z099,19,,533,evening,2022-07-10,Bangalore
DRV0101,Auto,False,inactive,4.0,9,Z113,Z113,18,,960,evening,2023-04-06,Bangalore
DRV0102,Bike,False,active,4.2,35,Z125,Z068,25,,1056,evening,2021-02-15,Bangalore
DRV0103,EV Bike,True,inactive,3.8,2,Z098,Z098,23,4.2,715,morning,2023-11-02,Bangalore
DRV0104,Bike,False,active,4.1,16,Z059,Z192,17,,687,evening,2022-09-08,Bangalore
DRV0105,Bike,False,active,4.2,9,Z018,Z012,25,,724,afternoon,2023-04-06,Bangalore
DRV0106,Bike,False,active,4.0,15,Z189,Z047,20,,928,flexible,2022-10-08,Bangalore
DRV0107,Auto,False,active,4.1,59,Z037,Z060,20,,1265,afternoon,2021-01-01,Bangalore
DRV0108,Bike,False,active,4.0,7,Z174,Z140,20,,659,flexible,2023-06-05,Bangalore
DRV0109,Bike,False,suspended,4.0,3,Z123,Z123,24,,716,morning,2023-10-03,Bangalore
DRV0110,Bike,False,active,4.6,38,Z191,Z076,15,,964,morning,2021-01-01,Bangalore
DRV0111,EV Bike,True,active,4.5,6,Z156,Z191,24,3.7,755,afternoon,2023-07-05,Bangalore
DRV0112,Auto,False,active,4.4,30,Z194,Z197,20,,964,evening,2021-07-15,Bangalore
DRV0113,Bike,False,active,4.2,9,Z195,Z034,17,,659,morning,2023-04-06,Bangalore
DRV0114,Bike,False,active,3.9,49,Z136,Z129,23,,984,flexible,2021-01-01,Bangalore
DRV0115,Bike,False,inactive,4.1,26,Z120,Z120,17,,861,flexible,2021-11-12,Bangalore
DRV0116,Auto,False,suspended,4.0,42,Z143,Z143,11,,1141,morning,2021-01-01,Bangalore
DRV0117,Auto,False,active,4.7,7,Z188,Z068,20,,937,evening,2023-06-05,Bangalore
DRV0118,Auto,False,active,4.1,1,Z084,Z157,20,,1007,night,2023-12-02,Bangalore
DRV0119,EV Auto,True,active,4.3,55,Z036,Z012,9,2.7,1109,flexible,2021-01-01,Bangalore
DRV0120,Bike,False,active,5.0,11,Z197,Z179,28,,782,flexible,2023-02-05,Bangalore
DRV0121,Auto,False,inactive,3.8,21,Z070,Z070,21,,859,afternoon,2022-04-11,Bangalore
DRV0122,EV Auto,True,inactive,4.5,29,Z189,Z189,13,2.6,1075,afternoon,2021-08-14,Bangalore
DRV0123,EV Auto,True,inactive,4.2,2,Z024,Z024,17,4.4,752,morning,2023-11-02,Bangalore
DRV0124,Bike,False,suspended,3.4,40,Z053,Z053,17,,1012,evening,2021-01-01,Bangalore
DRV0125,EV Bike,True,active,3.9,3,Z153,Z001,14,3.0,626,morning,2023-10-03,Bangalore
DRV0126,Auto,False,active,4.4,2,Z064,Z151,10,,1072,morning,2023-11-02,Bangalore
DRV0127,Auto,False,active,4.3,2,Z122,Z115,18,,849,evening,2023-11-02,Bangalore
DRV0128,Bike,False,active,4.4,2,Z169,Z134,24,,714,morning,2023-11-02,Bangalore
DRV0129,Auto,False,active,3.6,31,Z127,Z183,11,,886,evening,2021-06-15,Bangalore
DRV0130,Bike,False,active,3.9,2,Z156,Z183,25,,773,afternoon,2023-11-02,Bangalore
DRV0131,Auto,False,active,4.3,10,Z030,Z168,16,,1127,afternoon,2023-03-07,Bangalore
DRV0132,EV Bike,True,active,4.1,12,Z081,Z110,16,4.4,709,evening,2023-01-06,Bangalore
DRV0133,Auto,False,active,4.3,25,Z112,Z025,22,,925,morning,2021-12-12,Bangalore
DRV0134,EV Auto,True,active,4.4,9,Z109,Z091,12,3.7,905,afternoon,2023-04-06,Bangalore
DRV0135,Auto,False,active,4.5,5,Z058,Z028,18,,876,night,2023-08-04,Bangalore
DRV0136,Auto,False,active,4.2,90,Z197,Z160,19,,1418,morning,2021-01-01,Bangalore
DRV0137,Bike,False,active,4.2,63,Z090,Z002,20,,822,afternoon,2021-01-01,Bangalore
DRV0138,Bike,False,active,5.0,22,Z197,Z136,21,,758,afternoon,2022-03-12,Bangalore
DRV0139,Bike,False,active,5.0,16,Z146,Z153,17,,587,night,2022-09-08,Bangalore
DRV0140,Bike,False,active,4.2,18,Z111,Z125,29,,807,night,2022-07-10,Bangalore
DRV0141,Bike,False,active,3.9,12,Z188,Z152,30,,588,morning,2023-01-06,Bangalore
DRV0142,Bike,False,active,4.6,2,Z073,Z055,19,,392,afternoon,2023-11-02,Bangalore
DRV0143,Bike,False,active,4.3,7,Z102,Z137,22,,860,night,2023-06-05,Bangalore
DRV0144,Bike,False,inactive,4.4,4,Z016,Z016,29,,736,evening,2023-09-03,Bangalore
DRV0145,Auto,False,active,3.7,49,Z033,Z104,15,,1364,evening,2021-01-01,Bangalore
DRV0146,Auto,False,active,4.2,30,Z030,Z063,19,,1016,morning,2021-07-15,Bangalore
DRV0147,EV Bike,True,active,3.5,64,Z041,Z020,20,4.3,1132,afternoon,2021-01-01,Bangalore
DRV0148,Auto,False,active,4.3,12,Z061,Z027,14,,993,evening,2023-01-06,Bangalore
DRV0149,EV Bike,True,active,3.6,2,Z200,Z161,24,4.0,588,afternoon,2023-11-02,Bangalore
DRV0150,EV Auto,True,active,4.3,148,Z166,Z083,9,3.4,1286,evening,2021-01-01,Bangalore
DRV0151,EV Bike,True,active,4.2,27,Z025,Z080,12,3.2,790,afternoon,2021-10-13,Bangalore
DRV0152,Auto,False,suspended,4.1,3,Z163,Z163,17,,723,flexible,2023-10-03,Bangalore
DRV0153,Auto,False,active,4.2,5,Z147,Z167,15,,986,evening,2023-08-04,Bangalore
DRV0154,EV Auto,True,active,4.6,8,Z088,Z183,10,2.6,1074,evening,2023-05-06,Bangalore
DRV0155,EV Auto,True,active,4.3,14,Z100,Z096,13,3.9,830,morning,2022-11-07,Bangalore
DRV0156,Auto,False,active,4.2,35,Z157,Z174,14,,1261,flexible,2021-02-15,Bangalore
DRV0157,Auto,False,active,5.0,38,Z186,Z037,14,,1300,afternoon,2021-01-01,Bangalore
DRV0158,Auto,False,inactive,3.8,1,Z102,Z102,12,,872,flexible,2023-12-02,Bangalore
DRV0159,Bike,False,active,4.5,22,Z016,Z093,24,,874,flexible,2022-03-12,Bangalore
DRV0160,Auto,False,active,4.0,1,Z025,Z076,18,,863,night,2023-12-02,Bangalore
DRV0161,EV Bike,True,active,4.6,9,Z200,Z159,18,2.8,483,night,2023-04-06,Bangalore
DRV0162,EV Bike,True,active,4.6,8,Z113,Z012,22,4.4,673,evening,2023-05-06,Bangalore
DRV0163,EV Bike,True,active,4.8,10,Z064,Z080,17,4.4,708,flexible,2023-03-07,Bangalore
DRV0164,Auto,False,active,4.6,54,Z153,Z108,13,,1209,morning,2021-01-01,Bangalore
DRV0165,Bike,False,active,3.5,12,Z142,Z027,18,,653,afternoon,2023-01-06,Bangalore
DRV0166,EV Auto,True,active,4.2,8,Z058,Z116,8,3.3,938,afternoon,2023-05-06,Bangalore
DRV0167,Bike,False,active,3.7,2,Z083,Z026,25,,690,morning,2023-11-02,Bangalore
DRV0168,EV Auto,True,active,3.8,8,Z195,Z181,8,4.3,948,morning,2023-05-06,Bangalore
DRV0169,Bike,False,active,4.2,20,Z156,Z136,28,,814,morning,2022-05-11,Bangalore
DRV0170,Bike,False,active,4.0,1,Z166,Z118,17,,547,evening,2023-12-02,Bangalore
DRV0171,Bike,False,active,4.0,4,Z037,Z075,28,,524,morning,2023-09-03,Bangalore
DRV0172,Bike,False,active,3.6,9,Z100,Z018,15,,622,morning,2023-04-06,Bangalore
DRV0173,Bike,False,active,5.0,1,Z092,Z018,26,,609,evening,2023-12-02,Bangalore
DRV0174,EV Bike,True,active,4.4,2,Z021,Z091,14,3.4,804,evening,2023-11-02,Bangalore
DRV0175,Auto,False,active,4.2,30,Z123,Z010,13,,1023,flexible,2021-07-15,Bangalore
DRV0176,Bike,False,active,3.9,5,Z155,Z122,23,,694,morning,2023-08-04,Bangalore
DRV0177,Bike,False,active,4.1,18,Z085,Z070,18,,413,flexible,2022-07-10,Bangalore
DRV0178,Auto,False,inactive,3.9,25,Z043,Z043,21,,761,flexible,2021-12-12,Bangalore
DRV0179,Auto,False,active,4.4,13,Z021,Z111,18,,1002,morning,2022-12-07,Bangalore
DRV0180,Bike,False,active,3.8,11,Z193,Z110,20,,664,afternoon,2023-02-05,Bangalore
DRV0181,Auto,False,inactive,3.6,6,Z112,Z112,20,,954,morning,2023-07-05,Bangalore
DRV0182,Auto,False,active,4.1,7,Z174,Z041,12,,929,evening,2023-06-05,Bangalore
DRV0183,Bike,False,active,3.9,3,Z169,Z094,26,,485,evening,2023-10-03,Bangalore
DRV0184,Auto,False,inactive,4.3,21,Z199,Z199,19,,1114,afternoon,2022-04-11,Bangalore
DRV0185,Bike,False,active,4.2,2,Z007,Z189,20,,787,flexible,2023-11-02,Bangalore
DRV0186,Bike,False,active,5.0,25,Z055,Z157,24,,846,morning,2021-12-12,Bangalore
DRV0187,EV Bike,True,active,3.8,7,Z114,Z023,17,3.6,662,afternoon,2023-06-05,Bangalore
DRV0188,Bike,False,active,4.8,16,Z180,Z164,20,,522,morning,2022-09-08,Bangalore
DRV0189,EV Auto,True,active,3.6,2,Z128,Z007,13,3.4,927,flexible,2023-11-02,Bangalore
DRV0190,Bike,False,inactive,4.0,4,Z107,Z107,30,,544,night,2023-09-03,Bangalore
DRV0191,Bike,False,suspended,4.0,4,Z122,Z122,29,,516,morning,2023-09-03,Bangalore
DRV0192,EV Bike,True,active,3.2,73,Z200,Z034,25,4.2,1097,evening,2021-01-01,Bangalore
DRV0193,Bike,False,active,4.1,63,Z058,Z089,24,,806,evening,2021-01-01,Bangalore
DRV0194,Auto,False,active,4.3,6,Z154,Z024,19,,962,morning,2023-07-05,Bangalore
DRV0195,Auto,False,inactive,4.4,48,Z159,Z159,10,,1022,flexible,2021-01-01,Bangalore
DRV0196,EV Bike,True,active,5.0,6,Z160,Z107,22,3.1,874,flexible,2023-07-05,Bangalore
DRV0197,Auto,False,active,3.9,8,Z073,Z117,21,,1008,afternoon,2023-05-06,Bangalore
DRV0198,Auto,False,active,4.3,5,Z083,Z184,21,,596,flexible,2023-08-04,Bangalore
DRV0199,Bike,False,active,4.3,7,Z083,Z062,29,,526,morning,2023-06-05,Bangalore
DRV0200,Bike,False,active,3.7,12,Z165,Z108,22,,692,flexible,2023-01-06,Bangalore
DRV0201,Auto,False,active,3.9,8,Z151,Z120,14,,945,morning,2023-05-06,Bangalore
DRV0202,Bike,False,active,4.0,21,Z161,Z091,16,,796,evening,2022-04-11,Bangalore
DRV0203,EV Bike,True,active,4.4,12,Z015,Z028,16,4.0,882,afternoon,2023-01-06,Bangalore
DRV0204,Bike,False,active,3.5,48,Z156,Z074,17,,716,night,2021-01-01,Bangalore
DRV0205,Bike,False,suspended,4.3,51,Z034,Z034,19,,782,night,2021-01-01,Bangalore
DRV0206,Bike,False,inactive,4.4,34,Z051,Z051,27,,959,morning,2021-03-17,Bangalore
DRV0207,Auto,False,active,4.3,5,Z039,Z156,15,,875,morning,2023-08-04,Bangalore
DRV0208,EV Auto,True,active,4.1,31,Z093,Z130,12,3.4,966,morning,2021-06-15,Bangalore
DRV0209,Bike,False,active,4.3,9,Z082,Z186,15,,894,flexible,2023-04-06,Bangalore
DRV0210,EV Bike,True,active,4.1,31,Z194,Z014,20,3.9,918,night,2021-06-15,Bangalore
DRV0211,Bike,False,inactive,3.4,12,Z160,Z160,18,,539,afternoon,2023-01-06,Bangalore
DRV0212,Bike,False,active,4.6,13,Z165,Z121,16,,563,morning,2022-12-07,Bangalore
DRV0213,Bike,False,active,4.3,9,Z083,Z045,29,,618,afternoon,2023-04-06,Bangalore
DRV0214,EV Bike,True,active,4.6,18,Z190,Z068,15,3.6,751,morning,2022-07-10,Bangalore
DRV0215,EV Auto,True,active,3.6,3,Z053,Z177,13,3.6,1002,flexible,2023-10-03,Bangalore
DRV0216,Auto,False,active,4.4,14,Z155,Z098,15,,1119,afternoon,2022-11-07,Bangalore
DRV0217,Bike,False,active,4.3,3,Z113,Z168,23,,644,morning,2023-10-03,Bangalore
DRV0218,Auto,False,inactive,3.8,25,Z036,Z036,19,,926,morning,2021-12-12,Bangalore
DRV0219,Bike,False,inactive,4.2,26,Z059,Z059,16,,672,evening,2021-11-12,Bangalore
DRV0220,Bike,False,active,4.1,31,Z156,Z041,28,,854,evening,2021-06-15,Bangalore
DRV0221,EV Bike,True,active,4.1,29,Z023,Z197,21,3.6,677,evening,2021-08-14,Bangalore
DRV0222,EV Auto,True,inactive,4.0,24,Z042,Z042,15,2.9,903,evening,2022-01-11,Bangalore
DRV0223,EV Bike,True,active,4.5,22,Z073,Z146,16,4.5,922,evening,2022-03-12,Bangalore
DRV0224,Auto,False,inactive,3.5,8,Z120,Z120,13,,973,afternoon,2023-05-06,Bangalore
DRV0225,Auto,False,active,3.5,12,Z004,Z189,22,,1139,evening,2023-01-06,Bangalore
DRV0226,Bike,False,active,4.3,18,Z108,Z110,25,,1007,morning,2022-07-10,Bangalore
DRV0227,EV Auto,True,active,4.2,22,Z002,Z067,12,4.4,1047,afternoon,2022-03-12,Bangalore
DRV0228,Auto,False,active,4.3,3,Z190,Z061,20,,968,afternoon,2023-10-03,Bangalore
DRV0229,Bike,False,active,5.0,10,Z181,Z198,24,,811,flexible,2023-03-07,Bangalore
DRV0230,Bike,False,active,4.3,47,Z036,Z123,19,,847,afternoon,2021-01-01,Bangalore
DRV0231,Auto,False,inactive,3.8,76,Z171,Z171,22,,1264,night,2021-01-01,Bangalore
DRV0232,EV Bike,True,active,5.0,10,Z192,Z093,13,4.2,762,flexible,2023-03-07,Bangalore
DRV0233,Bike,False,active,4.1,30,Z152,Z114,18,,698,evening,2021-07-15,Bangalore
DRV0234,EV Bike,True,active,4.5,46,Z035,Z132,21,3.6,601,evening,2021-01-01,Bangalore
DRV0235,Bike,False,active,3.7,25,Z013,Z191,21,,569,afternoon,2021-12-12,Bangalore
DRV0236,Auto,False,active,3.6,11,Z024,Z121,14,,923,night,2023-02-05,Bangalore
DRV0237,EV Bike,True,suspended,4.1,13,Z110,Z110,19,3.3,682,evening,2022-12-07,Bangalore
DRV0238,Auto,False,active,4.5,9,Z098,Z031,18,,926,morning,2023-04-06,Bangalore
DRV0239,EV Auto,True,inactive,4.9,1,Z077,Z077,16,3.3,990,afternoon,2023-12-02,Bangalore
DRV0240,Bike,False,active,3.8,59,Z044,Z186,18,,957,afternoon,2021-01-01,Bangalore
DRV0241,EV Bike,True,inactive,4.1,2,Z053,Z053,21,3.4,527,evening,2023-11-02,Bangalore
DRV0242,EV Bike,True,active,4.2,17,Z113,Z060,25,2.8,753,flexible,2022-08-09,Bangalore
DRV0243,Bike,False,inactive,4.2,5,Z160,Z160,25,,622,flexible,2023-08-04,Bangalore
DRV0244,Auto,False,active,4.2,4,Z157,Z152,20,,938,evening,2023-09-03,Bangalore
DRV0245,Bike,False,active,4.2,15,Z102,Z135,25,,609,morning,2022-10-08,Bangalore
DRV0246,Bike,False,active,4.8,11,Z058,Z077,19,,335,evening,2023-02-05,Bangalore
DRV0247,EV Auto,True,active,4.7,4,Z066,Z066,9,4.3,621,night,2023-09-03,Bangalore
DRV0248,Bike,False,active,4.3,53,Z069,Z097,16,,834,evening,2021-01-01,Bangalore
DRV0249,Auto,False,active,3.6,19,Z086,Z078,13,,901,evening,2022-06-10,Bangalore
DRV0250,EV Bike,True,inactive,4.1,4,Z192,Z192,15,3.1,661,afternoon,2023-09-03,Bangalore
DRV0251,Auto,False,active,4.6,1,Z100,Z132,17,,1057,night,2023-12-02,Bangalore
DRV0252,Bike,False,active,3.9,21,Z021,Z145,22,,617,afternoon,2022-04-11,Bangalore
DRV0253,EV Auto,True,active,4.0,20,Z039,Z051,17,4.2,1008,evening,2022-05-11,Bangalore
DRV0254,Auto,False,active,4.1,6,Z127,Z186,17,,902,morning,2023-07-05,Bangalore
DRV0255,Auto,False,active,4.5,32,Z139,Z165,18,,1113,flexible,2021-05-16,Bangalore
DRV0256,Auto,False,active,4.9,5,Z167,Z060,21,,804,morning,2023-08-04,Bangalore
DRV0257,Auto,False,active,4.4,1,Z165,Z124,10,,867,evening,2023-12-02,Bangalore
DRV0258,Bike,False,active,3.5,41,Z071,Z005,28,,1016,flexible,2021-01-01,Bangalore
DRV0259,Auto,False,active,4.0,6,Z067,Z091,22,,1055,afternoon,2023-07-05,Bangalore
DRV0260,Bike,False,active,4.7,6,Z058,Z077,17,,419,night,2023-07-05,Bangalore
DRV0261,Bike,False,active,3.7,15,Z023,Z164,15,,885,evening,2022-10-08,Bangalore
DRV0262,Bike,False,active,3.5,54,Z029,Z136,16,,804,evening,2021-01-01,Bangalore
DRV0263,Bike,False,active,4.0,37,Z140,Z145,16,,832,morning,2021-01-01,Bangalore
DRV0264,Bike,False,active,4.6,29,Z102,Z020,24,,741,evening,2021-08-14,Bangalore
DRV0265,EV Bike,True,active,4.1,6,Z103,Z194,23,3.5,673,flexible,2023-07-05,Bangalore
DRV0266,Bike,False,active,5.0,6,Z088,Z155,27,,710,evening,2023-07-05,Bangalore
DRV0267,EV Bike,True,active,4.3,75,Z156,Z097,22,3.8,1002,morning,2021-01-01,Bangalore
DRV0268,Auto,False,active,3.7,6,Z022,Z069,16,,942,morning,2023-07-05,Bangalore
DRV0269,Bike,False,active,4.3,6,Z082,Z114,26,,512,morning,2023-07-05,Bangalore
